tree_species,region,county,soil_type,rainfall_mm,temperature_c,altitude_m,soil_ph,planting_season,planting_method,care_level,water_source,tree_age_months,survival_probability,survived
Bamboo,Central,Mombasa,Red Soil,142.4064031160358,14.888827492465632,1773.0289631151065,7.862626383486509,Transition,Direct Seeding,Medium,River,9,0.83,1
Indigenous Mix,North Eastern,Nyeri,Loam,1128.835380622755,22.98415699450965,2554.11649291125,5.805721802951499,Dry,Cutting,Medium,Irrigation,58,0.95,1
Grevillea,Central,Eldoret,Loam,516.2685061780167,21.946287266746026,2385.939888812274,6.190187840173526,Transition,Seedling,Low,Irrigation,3,0.95,1
Cedar,Nairobi,Mombasa,Red Soil,873.3149381591542,24.83623424428761,2527.554223230567,5.772429073259789,Dry,Seedling,Low,Borehole,35,0.95,1
Eucalyptus,Coast,Meru,Rocky,708.9536721504693,31.97172474859925,2749.3990384206436,6.340399162462747,Transition,Seedling,High,Irrigation,18,0.95,1
Pine,Eastern,Kitui,Clay,453.95983964416547,29.837761100524656,2591.182979164928,7.874887523330511,Dry,Seedling,Low,Borehole,115,0.95,1
Cypress,Northern,Eldoret,Red Soil,859.1355005368101,22.93818927182127,2577.5988177678205,7.497412256334364,Wet,Cutting,Medium,River,30,0.95,1
Grevillea,Nairobi,Kiambu,Clay,287.2320802392212,23.958490080052364,662.9820054617276,5.624806214158448,Wet,Seedling,Low,River,8,0.95,1
Cedar,Central,Nairobi,Black Cotton,497.47009384065626,14.351255224979543,2034.28045463557,7.05906486824316,Transition,Seedling,Medium,Borehole,107,0.95,1
Cypress,Rift Valley,Turkana,Rocky,1399.4308299976497,23.47868021144944,1215.4656167103349,6.130355651661631,Dry,Direct Seeding,Low,Rain-fed,50,0.66,0
Jacaranda,North Eastern,Marsabit,Volcanic,364.6321103296525,17.378657987024642,2645.890137897742,7.996528567593636,Wet,Cutting,High,Borehole,102,0.95,1
Cypress,Rift Valley,Eldoret,Clay,364.3574193749513,13.073674760792239,930.779593243624,5.7896178814933466,Dry,Seedling,Medium,Borehole,66,0.95,1
Neem,North Eastern,Kakamega,Volcanic,591.3354996524381,21.715171598683668,2323.1660145915835,6.322113220522474,Wet,Direct Seeding,Low,Borehole,20,0.95,1
Cypress,Central,Mombasa,Black Cotton,782.1134450950613,21.643981598651422,2925.4693107656813,6.879138121976141,Wet,Cutting,Medium,Irrigation,87,0.95,1
Cypress,Central,Garissa,Black Cotton,591.305262339675,22.76329190025064,1139.7072151119378,5.992029373650768,Wet,Cutting,High,Rain-fed,112,0.95,1
Cedar,Western,Meru,Sandy,865.7214687613006,19.62303878892729,1131.8566718711327,6.278514112612195,Wet,Cutting,High,Rain-fed,53,0.95,1
Indigenous Mix,Coast,Kakamega,Sandy,307.7721406008075,24.154353545675583,824.9260915470314,6.741693183944319,Dry,Direct Seeding,Medium,River,19,0.8,1
Eucalyptus,Northern,Nakuru,Rocky,499.69713665515576,27.165949321815738,1305.833279501184,6.5949943697388855,Dry,Direct Seeding,High,Irrigation,40,0.95,1
Pine,Northern,Kisumu,Sandy,1261.8631963069201,19.861943012020035,1957.750711576999,7.839678229911145,Dry,Direct Seeding,Low,Irrigation,68,0.95,1
Pine,Central,Kitui,Volcanic,903.6373948664486,26.565315782166998,1618.7724142158497,7.155432530808932,Transition,Seedling,Medium,River,42,0.95,1
Bamboo,Nairobi,Marsabit,Volcanic,719.9590938804763,23.615228658234937,606.1969165795024,5.9002403441436115,Dry,Direct Seeding,High,River,113,0.95,1
Eucalyptus,Central,Meru,Black Cotton,1047.5797489054828,28.182436907483186,1071.0907399946877,6.557590447705462,Transition,Cutting,Low,Rain-fed,71,0.95,1
Eucalyptus,Nyanza,Mombasa,Black Cotton,761.0980843914198,14.317346548089809,831.455450452948,6.487690813470482,Dry,Seedling,Low,Rain-fed,4,0.95,1
Indigenous Mix,Eastern,Meru,Volcanic,654.2628210774561,18.8327818261456,1788.8674851878554,6.924261580088524,Wet,Cutting,Low,Rain-fed,91,0.95,1
Grevillea,Rift Valley,Marsabit,Sandy,689.0446365688202,19.350021681634345,1108.3597087253074,7.693697989772081,Wet,Seedling,Low,Irrigation,110,0.95,1
Casuarina,Central,Kisumu,Red Soil,1219.0280532195475,24.22484157688088,733.3203006745659,5.931643502743975,Transition,Cutting,Low,River,48,0.95,1
Acacia,Rift Valley,Turkana,Black Cotton,745.8795249613946,24.908350364443965,1829.7273941477495,7.8853265076439385,Transition,Seedling,High,Rain-fed,70,0.95,1
Jacaranda,Eastern,Eldoret,Red Soil,744.7618974486387,31.30779853836398,1961.5208988878958,7.9716888578644856,Dry,Direct Seeding,Medium,Irrigation,98,0.95,0
Neem,Central,Nairobi,Red Soil,304.35676043335496,16.989480376847848,2061.062317960981,7.564021681268985,Dry,Direct Seeding,Medium,Rain-fed,98,0.8099999999999999,1
Bamboo,Rift Valley,Kitui,Volcanic,623.0253811250201,23.655194514086066,1109.597749239851,6.244690828806983,Transition,Direct Seeding,Low,Rain-fed,99,0.95,1
Cedar,Nyanza,Kitui,Sandy,686.7797107839551,21.110101255836938,2739.2979368700035,7.229546465312627,Dry,Direct Seeding,Medium,Borehole,13,0.95,0
Jacaranda,Coast,Marsabit,Sandy,706.3546347992625,20.931744065692524,1536.910897615498,7.641429755898339,Wet,Cutting,Low,Rain-fed,108,0.95,0
Wattle,Eastern,Marsabit,Black Cotton,991.0724237008956,19.624373607776985,2557.5707719894112,6.077350898051835,Dry,Cutting,High,Irrigation,42,0.95,1
Casuarina,Nyanza,Mombasa,Volcanic,323.8435790964638,20.963419519958777,2224.6032085899105,6.913910813919886,Wet,Direct Seeding,Medium,Irrigation,91,0.95,1
Acacia,Nairobi,Nyeri,Loam,547.8854975989918,19.007406465907316,1153.2184008420945,7.378429426338757,Dry,Direct Seeding,Medium,Irrigation,14,0.95,1
Pine,Coast,Kakamega,Loam,867.8491736972583,23.129020967034084,1323.1086969089424,5.719882520921822,Transition,Cutting,High,River,33,0.95,1
Pine,Rift Valley,Nyeri,Rocky,1362.9954295676205,15.845143569010006,1609.531852450202,6.11524780644079,Transition,Direct Seeding,Medium,Irrigation,11,0.7,1
Acacia,Nyanza,Kisumu,Volcanic,1085.0450090632505,25.016954965899934,2158.8922988964023,5.8784023784798585,Dry,Cutting,Medium,Borehole,28,0.95,1
Bamboo,Eastern,Mombasa,Loam,685.5106713760366,25.70062832052622,2846.4721454432415,6.292363221588964,Dry,Cutting,Medium,Borehole,65,0.95,1
Cedar,Rift Valley,Nyeri,Clay,1237.309350593975,22.646162160135383,788.2281497090005,7.8191067637714875,Transition,Cutting,Low,Rain-fed,9,0.93,1
Neem,Northern,Nakuru,Black Cotton,751.6947273012742,18.53709411304767,1942.3053464991087,7.6372923963994275,Wet,Cutting,Low,Irrigation,96,0.95,1
Jacaranda,Northern,Kitui,Rocky,161.94995366022033,22.15810986955124,2392.5296693684004,6.859734241231603,Transition,Cutting,Medium,Borehole,30,0.6699999999999999,1
Jacaranda,Eastern,Nairobi,Loam,1100.6807817855538,19.929677835998387,1633.2493466163571,7.3161033952685415,Dry,Direct Seeding,Low,Borehole,74,0.95,1
Jacaranda,Central,Meru,Sandy,1083.2399989829778,22.27418470627003,2316.5200529531876,6.774356125106552,Transition,Seedling,Medium,Irrigation,38,0.95,1
Neem,Western,Kiambu,Black Cotton,1354.412057531255,26.953554233120425,2826.4050675889316,6.570856986087401,Transition,Seedling,Medium,Rain-fed,97,0.95,1
Wattle,Nyanza,Kisumu,Sandy,1093.777923286089,20.751722308905403,973.3905692016626,6.869677026593049,Dry,Direct Seeding,Low,Irrigation,7,0.95,1
Cedar,Coast,Marsabit,Volcanic,739.7944344874011,19.976520715683368,2068.5975192053775,6.915464960793438,Dry,Seedling,Low,Rain-fed,102,0.95,1
Eucalyptus,Eastern,Machakos,Red Soil,986.7412748566238,24.06617040392334,1363.1862360464293,6.349739552904584,Dry,Seedling,High,Irrigation,18,0.95,1
Indigenous Mix,Central,Meru,Black Cotton,1046.043078236918,19.66130658070709,2397.3298715367036,6.242701374694996,Transition,Cutting,Medium,Borehole,100,0.95,1
Jacaranda,Eastern,Kisumu,Loam,586.933477878465,15.94610113000998,2382.325165012154,6.561403095516393,Wet,Seedling,High,Borehole,21,0.95,1
Casuarina,Nyanza,Marsabit,Sandy,335.87431623974084,22.508000066522637,1948.1695739379982,6.946737696794116,Wet,Direct Seeding,Medium,Irrigation,68,0.95,1
Eucalyptus,Rift Valley,Nakuru,Clay,704.8691502278102,17.982828629143714,2407.138694740929,7.019927918995406,Dry,Seedling,Medium,Irrigation,106,0.95,1
Eucalyptus,North Eastern,Kisumu,Clay,1446.9048895187896,20.096526881024538,570.6617526249443,5.53727566038702,Dry,Cutting,Low,Borehole,7,0.95,1
Bamboo,Rift Valley,Machakos,Black Cotton,600.2147011683419,16.611614407404304,1798.5743224182709,7.456637527638949,Wet,Cutting,Low,Irrigation,33,0.95,1
Wattle,Northern,Kisumu,Sandy,1144.8462092031104,14.128291411340186,2652.1375701086217,7.383033596847193,Wet,Cutting,Medium,River,103,0.95,0
Grevillea,Central,Eldoret,Red Soil,1175.7039086894024,27.682277871624226,594.9945932618554,7.01382318722818,Dry,Cutting,High,Irrigation,86,0.95,1
Wattle,Northern,Nairobi,Black Cotton,1129.1856315625046,24.379829310891118,647.5083349977507,7.765279378616643,Dry,Seedling,High,Borehole,77,0.95,1
Eucalyptus,Nairobi,Mombasa,Volcanic,405.3437507384971,22.05205254970849,2146.556272407736,7.9385957246339265,Dry,Cutting,Low,River,2,0.95,1
Cedar,Rift Valley,Machakos,Red Soil,1019.3709503185098,14.912032370656439,1803.7215542647236,7.654860228952478,Wet,Seedling,High,Irrigation,1,0.95,1
Eucalyptus,Nyanza,Nairobi,Clay,1249.0270357971422,21.61245994426857,1713.7397279146815,6.338691526402174,Wet,Direct Seeding,High,Borehole,41,0.95,1
Bamboo,Central,Kiambu,Rocky,758.6776702827265,14.63120549328301,2921.5345383648237,7.429524440674989,Wet,Seedling,High,Rain-fed,7,0.95,1
Eucalyptus,Central,Mombasa,Volcanic,751.4960218356514,20.899732463141525,2925.1915472750024,7.169650555599201,Dry,Direct Seeding,Medium,Irrigation,30,0.95,1
Cedar,Western,Mombasa,Rocky,788.2368293034182,22.446523129066883,2975.594710218296,7.081820965018916,Dry,Direct Seeding,High,Irrigation,76,0.95,1
Indigenous Mix,Eastern,Kitui,Black Cotton,522.5222552842179,23.343878945743207,2810.0862310756365,5.694181033182097,Wet,Cutting,High,Borehole,33,0.95,1
Neem,Nairobi,Garissa,Rocky,443.1622779501729,25.066270244926987,2321.6058092922503,7.114275861864093,Wet,Direct Seeding,Medium,Irrigation,6,0.91,1
Cedar,Western,Eldoret,Sandy,731.8719180679881,26.597354872635062,2061.832129739036,7.723095343817064,Transition,Cutting,Medium,Borehole,17,0.95,1
Jacaranda,Northern,Garissa,Sandy,968.8519988964813,21.258264105960894,1973.7634604385635,6.361254637856154,Transition,Direct Seeding,High,Rain-fed,84,0.95,1
Indigenous Mix,Western,Mombasa,Volcanic,837.136114033491,22.521736159005908,2643.000835811335,6.43763596721384,Wet,Cutting,Low,Irrigation,5,0.95,1
Grevillea,Rift Valley,Marsabit,Volcanic,403.85956069391847,23.929013875623493,2475.185317408187,7.459257471902438,Dry,Direct Seeding,Low,Irrigation,87,0.95,1
Pine,Nairobi,Nakuru,Red Soil,964.2365422939779,17.327224698590395,2577.0931278978824,6.522034725183525,Dry,Direct Seeding,Low,Borehole,24,0.95,1
Pine,Nairobi,Kitui,Clay,549.2685568025569,23.65332142551071,514.1575013144918,5.629458609857669,Transition,Direct Seeding,Medium,Irrigation,54,0.95,1
Casuarina,North Eastern,Meru,Rocky,978.3231061871755,19.24504804578108,2434.091612514402,5.863229279914454,Transition,Cutting,Medium,River,9,0.95,1
Cypress,Coast,Meru,Clay,1242.175113576743,19.79166264391352,2886.1510688465837,7.62369487428309,Dry,Seedling,Medium,River,95,0.95,1
Neem,Northern,Kiambu,Clay,1079.9199817162955,22.317709522804687,1282.364043370896,6.935404999023957,Dry,Direct Seeding,Medium,Borehole,65,0.95,1
Casuarina,Central,Kakamega,Red Soil,1051.097346390102,23.842487934195194,2568.7023993925154,6.40029428872251,Wet,Direct Seeding,High,Borehole,34,0.95,1
Cedar,Coast,Nakuru,Loam,916.127197341308,12.633129854647489,974.466943586441,5.967180536008638,Transition,Cutting,Low,River,69,0.95,1
Indigenous Mix,North Eastern,Eldoret,Volcanic,1228.1026708097183,23.857005429661175,1416.6679446865828,7.944739969465316,Transition,Direct Seeding,Medium,Rain-fed,38,0.95,1
Indigenous Mix,Eastern,Kakamega,Sandy,1144.628718913564,22.281934891658505,2129.500258452668,5.97189619483526,Dry,Cutting,Low,River,47,0.95,1
Grevillea,Central,Nyeri,Sandy,631.0370797872139,18.49021350852439,2582.1226039786065,7.036025023292915,Dry,Direct Seeding,Low,River,111,0.95,1
Jacaranda,Eastern,Meru,Black Cotton,888.5586104476508,23.974407450012887,538.5379151913481,7.5421512013525565,Dry,Seedling,Medium,Irrigation,15,0.95,1
Bamboo,Nairobi,Kisumu,Sandy,956.756229932717,18.734313050350295,2975.2744593372927,7.444478951049226,Wet,Cutting,Low,River,1,0.95,1
Wattle,Western,Kisumu,Rocky,364.8091472069254,20.839162977201283,1004.8454048546646,7.647930903924834,Dry,Cutting,Low,Irrigation,41,0.69,1
Casuarina,Nairobi,Kiambu,Loam,679.962624584377,24.520761806882405,661.9304988130043,7.347068593377949,Wet,Direct Seeding,High,Irrigation,57,0.95,1
Pine,North Eastern,Meru,Clay,614.9454227024855,16.494224294377887,835.596047734359,5.685431575712306,Dry,Cutting,Low,Borehole,14,0.95,1
Jacaranda,Northern,Turkana,Black Cotton,1120.6722377855133,15.814876737390286,2263.5221849337095,7.842524248780359,Transition,Cutting,Medium,Rain-fed,42,0.95,1
Pine,Coast,Mombasa,Red Soil,1237.5298110280332,22.406880160091,1581.6062015100897,6.670210150469117,Dry,Direct Seeding,Low,Irrigation,54,0.95,1
Indigenous Mix,Nairobi,Nyeri,Rocky,731.4303826621372,21.773291632699685,1979.1720514837598,5.531644571210405,Dry,Direct Seeding,Medium,Borehole,41,0.95,1
Acacia,Eastern,Turkana,Red Soil,876.7931439256313,16.40374878889678,2154.41288681849,7.302839633997609,Transition,Seedling,Medium,River,5,0.95,1
Casuarina,Eastern,Mombasa,Rocky,666.9711745294893,20.648648161626955,2013.9256847348256,7.199682184867937,Dry,Cutting,Low,Rain-fed,21,0.8699999999999999,0
Jacaranda,Western,Kiambu,Black Cotton,1090.64234421901,14.911652993171499,1953.0908621361634,7.462730509812475,Dry,Direct Seeding,High,Borehole,87,0.95,1
Bamboo,North Eastern,Kitui,Clay,1009.5239138222811,23.457211855394203,1212.8975737751684,7.751541830254873,Transition,Cutting,High,Rain-fed,32,0.95,1
Wattle,Eastern,Kisumu,Loam,847.765554414765,17.553204435881682,739.4197154990674,5.900861609762914,Transition,Direct Seeding,Medium,River,96,0.95,1
Cedar,Rift Valley,Machakos,Sandy,453.67633503110716,25.619276068092347,1724.1105295475402,6.477189622589571,Dry,Seedling,Low,River,7,0.83,1
Cedar,North Eastern,Eldoret,Loam,742.1055896717932,13.089424590075856,1676.9005541692557,6.471068053069643,Dry,Direct Seeding,Medium,Irrigation,17,0.95,1
Bamboo,Central,Meru,Volcanic,533.0465687176575,17.19610220877555,2773.40081681242,7.123106832094926,Transition,Direct Seeding,Medium,Irrigation,24,0.95,1
Bamboo,Central,Kakamega,Clay,624.2555420992053,30.128543469236117,741.4414517641603,5.599965321994602,Dry,Cutting,Medium,Borehole,102,0.95,1
Wattle,Nyanza,Mombasa,Volcanic,650.1505629514479,20.63178911453761,912.1418523663754,5.934869504010483,Dry,Seedling,Medium,Irrigation,73,0.95,1
Casuarina,North Eastern,Mombasa,Volcanic,1033.9800075697774,16.512054444474128,713.1455615921516,6.1117546128741465,Dry,Cutting,Medium,Borehole,52,0.95,1
Cypress,Nairobi,Eldoret,Volcanic,803.0125649749037,26.05291995039638,1118.36167785836,6.503370010596296,Transition,Seedling,Medium,Rain-fed,29,0.95,1
Bamboo,North Eastern,Kakamega,Rocky,782.4414421809673,15.822212123159183,1046.057821657649,7.00736907672651,Wet,Cutting,Medium,River,2,0.95,1
Grevillea,Northern,Nairobi,Rocky,545.7118362509348,26.09297309171607,2322.0554502318637,7.369441595680252,Wet,Cutting,Medium,Borehole,32,0.95,1
Wattle,North Eastern,Kiambu,Rocky,1366.016467777266,14.497027064456237,2335.1600875577697,6.7873683787861125,Dry,Seedling,High,River,15,0.95,1
Eucalyptus,Rift Valley,Nakuru,Black Cotton,1096.4901633048476,17.420389548647965,771.7724490703779,7.38014842112592,Transition,Cutting,Low,Borehole,50,0.95,1
Cedar,Northern,Nairobi,Loam,296.10537194321233,17.730387433153865,2101.0265920663355,6.591536405504316,Transition,Direct Seeding,Low,River,29,0.7799999999999999,1
Wattle,Western,Kakamega,Loam,551.5118718954803,22.600992793730274,2759.3644265223543,7.7677935479503315,Wet,Direct Seeding,Medium,Irrigation,50,0.95,1
Pine,Western,Kiambu,Red Soil,1140.8333241090988,11.645749960336047,2212.341870603273,7.909437955518071,Dry,Direct Seeding,Low,Borehole,35,0.95,1
Cedar,Nyanza,Eldoret,Black Cotton,684.3104717163442,35.23423011494365,966.4096490866493,7.736776138567164,Transition,Direct Seeding,Low,Borehole,70,0.95,1
Indigenous Mix,Eastern,Marsabit,Sandy,935.8985831272108,24.471014689649902,2317.046602380591,7.483282115999755,Dry,Seedling,High,Rain-fed,8,0.95,1
Cypress,Eastern,Nairobi,Red Soil,917.7809993171879,12.786909290421924,1583.3890505447032,6.191555692734253,Dry,Cutting,Low,Rain-fed,98,0.95,1
Bamboo,Coast,Marsabit,Red Soil,668.3450028565485,16.304692461918243,1669.5950328117874,6.5484745949209735,Transition,Seedling,Medium,Borehole,85,0.95,1
Pine,Rift Valley,Kisumu,Volcanic,1269.6231169478758,17.482236957191823,2237.59844124351,6.575295684019227,Dry,Direct Seeding,Medium,Rain-fed,6,0.93,1
Acacia,Western,Machakos,Clay,984.6949941488444,18.23782023694042,1188.7700498299882,6.454274547733855,Dry,Direct Seeding,High,Irrigation,104,0.95,1
Bamboo,Northern,Kakamega,Volcanic,933.3775985219387,24.169176200444383,1092.6932188905366,6.3091569525895,Wet,Cutting,High,Rain-fed,87,0.95,1
Jacaranda,Northern,Mombasa,Clay,837.4320463733469,21.148577340870993,2903.578280958343,6.567415498203048,Wet,Direct Seeding,Low,River,84,0.95,1
Neem,Western,Kisumu,Volcanic,914.6953196128267,19.710408724530772,2001.139218187863,5.751002858439003,Transition,Cutting,Low,Irrigation,44,0.95,1
Wattle,Eastern,Nakuru,Clay,615.5167692451871,17.87417050127231,2635.0020587409226,6.92909930817537,Dry,Cutting,High,Borehole,1,0.95,1
Cypress,Northern,Kisumu,Red Soil,337.5565685256896,22.466844304015826,1526.9427238107264,7.692119995628641,Transition,Seedling,Low,Rain-fed,43,0.91,1
Casuarina,Nyanza,Meru,Volcanic,884.9392466958575,21.48971804685576,1800.2248440145859,6.501748203108132,Dry,Direct Seeding,Low,Borehole,43,0.95,1
Neem,Coast,Nairobi,Rocky,992.0079855152987,23.78206291767188,1427.9353017227827,5.688387240572229,Dry,Seedling,Medium,River,15,0.95,1
Cedar,North Eastern,Kiambu,Black Cotton,871.6739721324162,28.849416299761813,1721.402901462104,5.784845457819963,Transition,Cutting,High,Irrigation,81,0.95,1
Eucalyptus,Western,Meru,Sandy,766.8318914483642,31.157643148190143,1563.3364898511318,6.563751121867427,Dry,Cutting,Low,Irrigation,37,0.95,1
Bamboo,Eastern,Nyeri,Rocky,1236.4248606111767,31.403805731013243,2532.800681553548,7.4657738817757,Dry,Seedling,High,Irrigation,10,0.9300000000000002,1
Bamboo,Coast,Marsabit,Volcanic,682.1514338247123,27.36220797579962,1830.4249021404523,7.854901218907184,Wet,Cutting,Medium,Borehole,62,0.95,1
Grevillea,Rift Valley,Kitui,Rocky,689.3767067430307,18.05252102634322,1912.4999279547892,7.7036869417406795,Wet,Cutting,High,Irrigation,56,0.95,1
Wattle,Northern,Garissa,Red Soil,1078.49952001287,22.349092254357593,2263.5817392435074,7.492692016406891,Dry,Direct Seeding,Medium,River,51,0.95,1
Neem,Central,Kitui,Red Soil,923.1963084006956,15.826629760937335,578.3044630553994,5.797097835984898,Wet,Direct Seeding,Medium,Borehole,79,0.95,1
Eucalyptus,Central,Nyeri,Black Cotton,673.6908962412515,14.512255194199195,2326.415676083512,7.060838816378014,Dry,Direct Seeding,High,River,14,0.95,1
Bamboo,Nyanza,Marsabit,Clay,958.4108013643893,18.157822415482535,959.3473146060697,6.778716923022084,Transition,Cutting,Medium,Rain-fed,38,0.95,1
Cypress,Central,Meru,Clay,1111.9946075834948,18.46395879987834,1858.027467847011,7.580832851583958,Wet,Seedling,High,Irrigation,19,0.95,1
Cypress,North Eastern,Machakos,Clay,755.5331333470638,24.52630671587101,525.2260125547039,7.2228930793112704,Transition,Direct Seeding,Low,River,32,0.95,1
Bamboo,Eastern,Kakamega,Black Cotton,783.3774464631957,21.280398849820664,2408.8780851484635,7.900515517966183,Transition,Seedling,Low,Borehole,74,0.95,1
Pine,Nairobi,Nairobi,Red Soil,771.91729299009,22.046134964977345,600.049101847515,6.002128040127791,Wet,Direct Seeding,Medium,Borehole,117,0.95,1
Eucalyptus,Eastern,Mombasa,Loam,830.9352747336911,20.643517184261796,1843.3370621076942,6.6103605055502985,Dry,Seedling,High,River,64,0.95,1
Cedar,Nyanza,Kitui,Loam,871.621377587407,15.630813374328978,2953.320727846107,6.795787788006306,Wet,Seedling,Low,River,22,0.95,1
Cedar,Eastern,Eldoret,Clay,382.25698405042056,18.84522418460251,1943.523620734543,6.544554632092799,Wet,Seedling,Low,Borehole,21,0.95,1
Eucalyptus,Nyanza,Machakos,Rocky,840.5805227308026,10.024318905003717,1171.8673632244208,6.823946041285626,Wet,Direct Seeding,Low,Borehole,100,0.95,1
Cypress,Western,Kiambu,Volcanic,1096.5915566417787,24.23672779653169,2861.2196996131092,6.182304318831842,Wet,Direct Seeding,Low,River,6,0.95,1
Casuarina,Western,Turkana,Rocky,717.0993785220396,23.150703256335877,2387.968185620651,6.036350553008217,Wet,Seedling,High,Borehole,66,0.95,1
Eucalyptus,Central,Marsabit,Volcanic,1162.9913705008862,23.181871460688036,545.4989803776318,7.5054452488111805,Wet,Seedling,High,River,3,0.95,1
Grevillea,Nairobi,Machakos,Loam,396.04499359236195,23.48370232377396,2137.028250075894,7.21213619794729,Wet,Direct Seeding,Low,Rain-fed,79,0.95,1
Indigenous Mix,Nyanza,Marsabit,Sandy,853.4420787595209,21.200451628744535,1485.615937101486,7.812206108169231,Wet,Cutting,High,Irrigation,69,0.95,1
Eucalyptus,Northern,Mombasa,Black Cotton,1134.4062283345709,19.351863803311023,1089.5901297496778,6.653176332880679,Transition,Seedling,Medium,River,79,0.95,1
Neem,Coast,Nairobi,Red Soil,1243.239825674776,16.535049432516704,2811.425549216834,7.541160148479596,Wet,Seedling,Medium,Borehole,10,0.95,1
Cedar,Central,Kakamega,Volcanic,835.5378646217661,16.340568107337006,1982.7648877804115,6.858723644271585,Transition,Seedling,Low,Irrigation,26,0.95,1
Casuarina,North Eastern,Marsabit,Volcanic,895.5519195804123,31.559616192849127,1585.5917415284894,6.468333552141731,Wet,Cutting,Low,Borehole,5,0.95,1
Cedar,Coast,Turkana,Black Cotton,529.9049275645748,21.674005578250878,614.8250805727249,5.779007998629729,Wet,Cutting,Medium,Irrigation,49,0.95,0
Bamboo,Central,Nyeri,Rocky,673.5253065679121,27.22528072615603,681.7097775065577,6.922046829416237,Transition,Direct Seeding,Low,Borehole,98,0.95,1
Cedar,Nairobi,Nakuru,Rocky,801.0747805498349,21.0266815248766,1888.7966667564895,7.5623461995434935,Wet,Cutting,Low,Irrigation,30,0.95,1
Bamboo,Rift Valley,Kiambu,Loam,513.6684121127109,24.534578600681552,974.4088953650271,7.816251547610554,Dry,Seedling,Medium,Borehole,83,0.95,1
Neem,Nyanza,Nakuru,Clay,894.656882276076,21.760705361736214,2459.791274198007,7.743010327329479,Transition,Seedling,Low,River,42,0.95,1
Casuarina,Nyanza,Nairobi,Clay,1172.731185957707,20.716524859378058,561.659220745027,7.188308817017915,Dry,Seedling,Low,Rain-fed,100,0.95,1
Eucalyptus,Northern,Kitui,Red Soil,1116.4677237655242,26.720210740745422,2185.5914040704974,6.340195969355595,Transition,Cutting,Low,Irrigation,96,0.95,1
Acacia,North Eastern,Eldoret,Black Cotton,666.444376352526,20.71305366857535,1367.142527322224,5.591424530907395,Transition,Seedling,High,River,51,0.95,1
Casuarina,Western,Mombasa,Loam,746.7930354080272,22.9673268549412,1317.0507656293303,5.931129599691164,Wet,Direct Seeding,Medium,Rain-fed,50,0.95,1
Casuarina,Nyanza,Nakuru,Clay,421.5773488989263,14.546462861754776,1618.2288496815702,7.475414539827374,Wet,Seedling,Low,River,34,0.95,1
Grevillea,Nairobi,Eldoret,Sandy,632.3576506616125,22.882159228834848,2130.8656189578455,7.778949003130547,Dry,Direct Seeding,High,River,10,0.95,1
Pine,Eastern,Kakamega,Volcanic,708.6722063585469,24.1941921837822,1155.9239632224367,7.260102483276842,Dry,Direct Seeding,High,Irrigation,112,0.95,1
Wattle,North Eastern,Kitui,Clay,490.2034951109829,21.080442413256332,1593.240042917225,7.330245639502829,Wet,Seedling,Low,Irrigation,58,0.95,1
Grevillea,Western,Eldoret,Sandy,492.72460681163784,15.9891581641283,2902.2935788951536,5.956737031778457,Dry,Direct Seeding,High,Irrigation,65,0.95,1
Wattle,Nyanza,Garissa,Sandy,480.1188885838696,17.903548572117906,1460.7504689012999,5.638354996376132,Transition,Cutting,Medium,River,13,0.89,1
Indigenous Mix,Eastern,Nairobi,Red Soil,1227.0923210110186,16.204760617797348,1617.653888852059,7.835149550211215,Transition,Direct Seeding,Low,Irrigation,20,0.95,1
Pine,Eastern,Meru,Volcanic,488.1885182207061,17.658596341000198,1453.6027052640222,6.390417413286108,Dry,Seedling,Medium,River,112,0.95,1
Eucalyptus,Nyanza,Machakos,Red Soil,1098.7608777141895,33.842408546626906,2464.667141764712,6.889677740991263,Dry,Cutting,Medium,Irrigation,17,0.95,1
Bamboo,Central,Kitui,Volcanic,739.3696158937347,22.641122707519113,901.788962228764,7.333012012382442,Wet,Direct Seeding,Medium,Irrigation,91,0.95,1
Wattle,Central,Kiambu,Red Soil,1162.4349539508796,11.26054651380568,2845.0703184111685,7.309999685298907,Dry,Cutting,Low,Borehole,10,0.95,1
Eucalyptus,Nairobi,Kisumu,Rocky,674.8163908473115,31.57834029232761,1913.7518283887537,7.235165187139892,Transition,Direct Seeding,Medium,Irrigation,97,0.85,1
Jacaranda,Coast,Machakos,Clay,510.3934143393106,25.274958939310554,678.5959575220708,7.315716160045301,Transition,Cutting,High,River,117,0.95,1
Neem,Rift Valley,Machakos,Red Soil,1087.8515511948926,17.01155701817575,1459.9003157934462,7.427246010797006,Wet,Seedling,Medium,River,57,0.95,1
Jacaranda,Nyanza,Kiambu,Black Cotton,854.8743690860767,12.731338793904383,1478.3320911654816,7.899820301458754,Wet,Direct Seeding,High,Borehole,62,0.95,1
Grevillea,Coast,Kiambu,Black Cotton,643.6019792021146,15.79043940719761,520.145722238838,7.39659395978428,Transition,Seedling,High,River,106,0.95,1
Grevillea,Northern,Mombasa,Loam,1067.6629618429956,23.090621848405014,929.9260046088574,6.551705592602321,Dry,Cutting,Low,Rain-fed,40,0.95,1
Neem,Eastern,Nyeri,Sandy,535.0670163539775,27.79794949071738,1367.4176890612096,6.02096300814113,Wet,Direct Seeding,Low,River,75,0.95,1
